ID;Data Adicionada;Última Alteração;Último Editor;Empresa Doadora;Empresa Recebedora;Tipo;Algoritmo;Jornal;Viés;Nota
0;2035-03-13T19:00:00;2035-03-13T19:00:00;Junior Shurdlu;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Haacklee Herald;Positivo;0.992
1;2035-03-19T11:00:00;2035-03-19T11:00:00;Olokun Daramola;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;Lomark Daily;Positivo;0.989
2;2035-04-10T12:00:00;2035-04-10T12:00:00;Jack Inch;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Haacklee Herald;Positivo;0.992
3;2035-05-06T12:00:00;2035-05-06T12:00:00;Niklaus Oberon;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;Lomark Daily;Positivo;0.989
4;2035-05-23T18:00:00;2035-05-23T18:00:00;Melinda Manning;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Haacklee Herald;Positivo;0.992
5;2035-05-23T04:00:00;2035-05-23T04:00:00;Greta Grass-Hill;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Lomark Daily;Positivo;0.989
6;2035-05-26T15:00:00;2035-05-26T15:00:00;Olokun Daramola;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;Lomark Daily;Positivo;0.989
7;2035-06-02T18:00:00;2035-06-02T18:00:00;Pelagia Alethea Mordoch;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;The News Buoy;Positivo;0.9786
8;2035-06-10T05:00:00;2035-06-10T05:00:00;Jack Inch;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Lomark Daily;Positivo;0.989
9;2035-07-16T12:00:00;2035-07-16T12:00:00;Olokun Daramola;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Lomark Daily;Positivo;0.989
10;2035-07-16T21:00:00;2035-07-16T21:00:00;Olokun Daramola;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;The News Buoy;Positivo;0.9786
11;2035-07-25T14:00:00;2035-07-25T14:00:00;Olokun Daramola;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;Haacklee Herald;Positivo;0.992
12;2035-07-25T22:00:00;2035-07-25T22:00:00;Jack Inch;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;Lomark Daily;Positivo;0.989
13;2035-07-25T10:00:00;2035-07-25T10:00:00;Harvey Janus;Sanchez-Moreno;Sustainable_nets;Event.Invest;BassLine;The News Buoy;Positivo;0.9786
14;2035-07-28T00:00:00;2035-07-28T00:00:00;Worf Peer;Sanchez-Moreno;Sustainable_nets;Event.Invest;ShadGPT;Haacklee Herald;Positivo;0.992
