ID;Data Adicionada;Última Alteração;Último Editor;Empresa Doadora;Empresa Recebedora;Tipo;Algoritmo;Jornal;Viés;Nota
0;2035-02-28T23:00:00;Não informado;Não informado;Fabio Conti;ArawakFish Cargo Ges.m.b.H.;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-06T06:00:00;Não informado;Não informado;Fabio Conti;BaringoAmerica Marine Ges.m.b.H.;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-22T07:00:00;Não informado;Não informado;Fabio Conti;Jacobs PLC;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-16T22:00:00;Não informado;Não informado;Fabio Conti;Tainamarine Fishing Co;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-03-05T23:00:00;Não informado;Não informado;Fabio Conti;V. Miesel Shipping;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-13T23:00:00;Não informado;Não informado;Fabio Conti;Irtysh Creek Logistics Inc;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-28T11:00:00;Não informado;Não informado;Fabio Conti;NortheastSeafood Carriers;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-07T02:00:00;Não informado;Não informado;Fabio Conti;KambalaSea Freight Inc;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-24T04:00:00;Não informado;Não informado;Fabio Conti;Namorna Transit Ltd;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-25T00:00:00;Não informado;Não informado;Fabio Conti;Sparmans Marine Carriers Oyj;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-19T20:00:00;Não informado;Não informado;Fabio Conti;Conrad Ltd;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-28T04:00:00;Não informado;Não informado;Lemuel Conti;ScaniaSeafood Holdings Ltd. Liability Co;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-11T12:00:00;Não informado;Não informado;Lemuel Conti;NyanzaRiver Worldwide AS;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
0;2035-02-06T07:00:00;Não informado;Não informado;Lemuel Conti;V. Miesel Shipping;Event.Owns.PartiallyOwns;Não informado;Não informado;Não informado;Não informado
